"gbifID","basisOfRecord","continent","countryCode","stateProvince","county","municipality","locality","decimalLatitude","decimalLongitude","scientificName","genus","specificEpithet","infraspecificEpithet","fromfile"
"1989307119","PRESERVED_SPECIMEN","North America","US","michigan","keweenaw",NA,"Isle Royale L. Superior",48.106955,-88.546117,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2270257234","PRESERVED_SPECIMEN",NA,"US","california","santa barbara",NA,"Between Embudo and Campo Raton, just south of Central Valley Road, about 3 miles east of Christi Ranch; Santa Cruz Island",34.0166999991247,-119.8114,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2424881152","PRESERVED_SPECIMEN",NA,"US","california","san diego",NA,"North of Julian. Volcan Mountain Open Space Preserve. 550 meters north east of intersection of Farmer and Wynola Road.",33.1076,-116.5995,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1998757346","PRESERVED_SPECIMEN","North America","US","massachusetts","middlesex","Cambridge","Cambridge, at 562 Huron Avenue",42.378694,-71.14675,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2421687619","PRESERVED_SPECIMEN",NA,"US","california","solano",NA,"Stebbins Cold Canyon Reserve. 9 miles west of Winters on rt. 128, 1/8 miles south of hwy.",38.5025,-122.099444,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2422489587","PRESERVED_SPECIMEN",NA,"US","nevada","white pine",NA,"Schell Creek Range, just east of ridge top, c. 6 miles south of Connors Summit (U.S. Hwy 50), upper John Henry Wash watershed; Schell Creek Range",38.9346,-114.64715,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2859302150","PRESERVED_SPECIMEN",NA,"US","pennsylvania","venango",NA,"Kennerdell, Clear Creek State Forest, along Allegheny River, Clinton Township",41.288212,-79.830482,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1930703773","PRESERVED_SPECIMEN","North America","US","new jersey","middlesex","Spotswood",NA,40.394912,-74.390243,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1930377603","PRESERVED_SPECIMEN","North America","US","new jersey","somerset",NA,"In grassy field, Watchung.",40.642048,-74.441201,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"415902742","PRESERVED_SPECIMEN",NA,"US","rhode island","kent","Warwick","Greene Island, Warwick",41.7325,-71.37916,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2265461109","PRESERVED_SPECIMEN",NA,"US","minnesota","koochiching",NA,"Franz Jevne State Park. Koochiching County...Franz Jevne State Park, in the Rainy River Valley, about 2 miles northeast of Birchdale...T 160N R 27W SW1/4 of SW1/4 of Sec 26. 160N 27W 26",48.642777,-94.078331,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1038987432","PRESERVED_SPECIMEN","North America","US","connecticut","fairfield","Fairfield",NA,41.1779,-73.2735,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1038986741","PRESERVED_SPECIMEN","North America","US","connecticut","fairfield","Weston",NA,41.2284,-73.3726,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2859039228","PRESERVED_SPECIMEN",NA,"US","pennsylvania","adams",NA,"4 mi E of Heidlersburg",39.94119,-77.071662,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2982064294","PRESERVED_SPECIMEN",NA,"US","california","mendocino",NA,"Etsel Ridge N of Grizzly Flat Ranger Station; along FS 1N02-M-1",39.71783,-123.00667,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"51740079","PRESERVED_SPECIMEN","North America","US","oregon","benton",NA,"Corvallis.",44.5647,-123.2608,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2265461568","PRESERVED_SPECIMEN",NA,"US","minnesota","carver",NA,"Waconia;;116N;25W;",44.8476,-93.827753,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2382627735","PRESERVED_SPECIMEN",NA,"US","california","san diego",NA,"Laguna Mt.",32.84327,-116.48061,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2265462188","PRESERVED_SPECIMEN",NA,"US","minnesota","norman",NA,"Twin Valley Prairie: 5 mi W of Syre, NW1/4 and E1/2 of SW1/4 of Sec.23 T143N R45W;Twin Valley Prairie Scientific Natural Area;143N;45W;23",47.187516,-96.353808,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1257611537","PRESERVED_SPECIMEN","North America","US","south dakota","lake",NA,"Lake Herman State Park; Abbot Trail.",43.984972,-97.1595,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2982011746","PRESERVED_SPECIMEN",NA,"US","california","santa barbara",NA,"2 miles west on West El Camino Cielo, lower junction with Hwy. 154",34.5008999991189,-119.8404,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1320988426","PRESERVED_SPECIMEN","North America","US","maryland","prince georges",NA,"between Bladensburg and Sewage Plant",38.9392,-76.9342,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2873276492","PRESERVED_SPECIMEN",NA,"US","south dakota","custer",NA,"T6S R3E S11; Medicine Mountain Boy Scout Ranch",43.54296,-103.72761,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"56505712","PRESERVED_SPECIMEN","North and Central America","US","alabama","st clair",NA,"Eden, Prescott community",33.56833,-86.44583,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2265462196","PRESERVED_SPECIMEN",NA,"US","minnesota","st louis",NA,"Shore of Armstrong Lake, S of Ely;;062N;14W;",47.844609,-92.115349,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2873276310","PRESERVED_SPECIMEN",NA,"US","south dakota","lawrence",NA,"T6N R3E S18; ca. 4 air miles south of the Hills Drive-In on Maitland Road",44.48158,-103.79951,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1986991875","PRESERVED_SPECIMEN",NA,"US","idaho","franklin",NA,"Jay Wilde Ranch; 7188 East Birch Creek Road. 1/4 mile east of house.",42.225467,-111.696667,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2234472137","PRESERVED_SPECIMEN",NA,"US","north carolina","caswell",NA,"Dan R. [River], at Milton",36.539029,-79.208628,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2982019747","PRESERVED_SPECIMEN",NA,"US","california","plumas",NA,NA,39.903896,-120.135748,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2859031240","PRESERVED_SPECIMEN",NA,"US","pennsylvania","butler",NA,"Petersville",40.823954,-80.01117,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"51739953","PRESERVED_SPECIMEN","North America","US","oregon","jackson",NA,"Siskiyou Mt.",42.0835,-122.6994,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1988146230","PRESERVED_SPECIMEN",NA,"US","oregon",NA,NA,"Jospehine County, Forest Highway 25, ca. 1 miles North of Serpentine pt, Siskiyou National Forset",42.38,-123.64,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2562126916","PRESERVED_SPECIMEN",NA,"US","california","nevada",NA,"Across stream from observation tank",39.431061,-120.241354,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2422405350","PRESERVED_SPECIMEN",NA,"US","california","san diego",NA,"Moody Canyon area, just east of San Ysidro Jr. High School",32.55917,-117.03111,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1989308022","PRESERVED_SPECIMEN","North America","US","michigan","kent",NA,"Grand Rapids",42.96336,-85.668086,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2859325048","PRESERVED_SPECIMEN",NA,"US","pennsylvania","indiana",NA,"Blacklick Twp, ca 4 mi N of Blairsville on PA 217, near junction with Greys Run and Hopewell Church",40.4459199990684,-79.26981,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2422290711","PRESERVED_SPECIMEN",NA,"US","california","siskiyou",NA,"McGinnis Springs, 5 miles NW of McCloud, Shasta-Trinity National Forest, south of Mt. Shasta; Sierra Nevada Mtns",41.32778,-122.21528,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2459164565","PRESERVED_SPECIMEN",NA,"US","california","santa cruz",NA,"Sunny, dry area, near Kilns. Mixed Forest Association. Fall Creek State Park",37.05853,-122.09832,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1930589594","PRESERVED_SPECIMEN","North America","US","south dakota","lawrence",NA,"Black Hills. ca 5 mi S of Deadwood.",44.32161,-103.704295,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1930621417","PRESERVED_SPECIMEN","North America","US","colorado","larimer",NA,"Fort Collins, along Poudre River Trail, ~0.5 mi E of Lemay Ave.",40.577219,-105.050263,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1929803171","PRESERVED_SPECIMEN","North America","US","wyoming","crook",NA,"Along State Hwy. 212 ca. 19.5 miles southeast of Alzada, Montana",44.83821,-104.10008,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1927914120","PRESERVED_SPECIMEN","North America","US","colorado","pitkin",NA,"Elk Mountains: White River National Forest: along Avalanche Creek from the trailhead at the end of Forest Road 310 SE to the wilderness boundary, ca 4 air mi NNE of Redstone; ca 11-12 air mi S of Carbondale.",39.2347,-107.2018,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2459171802","PRESERVED_SPECIMEN",NA,"US","california","santa cruz","Santa Cruz","Located in 2016 plot towards entrance of UCSC Coastal Biology Campus. Found near Natural Bridges State Park off McAllister Road in Santa Cruz CA",36.952647,-122.06423,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1930275477","PRESERVED_SPECIMEN","North America","US","nevada","washoe",NA,"Virginia Mtns., Painted Hills N of Hwy 33",39.9053,-119.6488,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"1988980909","PRESERVED_SPECIMEN","North America","US","michigan","alcona",NA,"ca. 3/4 mi. E. US-23 on the south side of Alcona Rd. Haynes Twp. T27N, R9E, Sec. 11 NE1/4",44.753847,-83.312931,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2859294223","PRESERVED_SPECIMEN",NA,"US","pennsylvania","monroe",NA,"Delaware Water Gap, Indian Head Park",40.979395,-75.143204,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"441680098","PRESERVED_SPECIMEN",NA,"US","washington","chelan",NA,"North Cascades National Park. Approximately 2 km west of Heather Pass; east slope of Corteo Peak.",48.509437,-120.788802,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
"2859342658","PRESERVED_SPECIMEN",NA,"US","pennsylvania","westmoreland",NA,"Sewickley Township, Herminie, 1 mi N of PA 136 on Andrews Run Road",40.269722,-79.701944,"Achillea millefolium L.","Achillea","millefolium",NA,"gdb"
